,Date,Store_Number,Transaction_Count,target_pct,met_target,bonus_payable,month,day_of_week
52391,2016-01-02,2,6,0.0024,False,False,1,5
52392,2016-01-02,16,373,0.1492,False,False,1,5
52393,2016-01-02,20,1816,0.7264,False,False,1,5
52394,2016-01-02,21,1388,0.5552,False,False,1,5
52395,2016-01-02,22,849,0.3396,False,False,1,5
52396,2016-01-02,23,1092,0.4368,False,False,1,5
52397,2016-01-02,24,1901,0.7604,False,False,1,5
52398,2016-01-02,25,2582,1.0328,True,False,1,5
52399,2016-01-02,26,654,0.2616,False,False,1,5
52400,2016-01-02,27,1651,0.6604,False,False,1,5
52401,2016-01-02,28,1265,0.506,False,False,1,5
52402,2016-01-02,29,1010,0.404,False,False,1,5
52403,2016-01-02,30,596,0.2384,False,False,1,5
52404,2016-01-02,31,1859,0.7436,False,False,1,5
52405,2016-01-02,32,663,0.2652,False,False,1,5
52406,2016-01-02,33,1156,0.4624,False,False,1,5
52407,2016-01-02,34,2364,0.9456,False,False,1,5
52408,2016-01-02,35,1065,0.426,False,False,1,5
52409,2016-01-02,36,1576,0.6304,False,False,1,5
52410,2016-01-02,37,1536,0.6144,False,False,1,5
52411,2016-01-02,38,2358,0.9432,False,False,1,5
52412,2016-01-02,39,1734,0.6936,False,False,1,5
52413,2016-01-02,40,1323,0.5292,False,False,1,5
52414,2016-01-02,41,1347,0.5388,False,False,1,5
52415,2016-01-02,42,1351,0.5404,False,False,1,5
52416,2016-01-02,43,1340,0.536,False,False,1,5
52417,2016-01-02,44,4539,1.8156,True,False,1,5
52418,2016-01-02,45,4840,1.936,True,False,1,5
52419,2016-01-02,46,5256,2.1024,True,False,1,5
52420,2016-01-02,47,4967,1.9868,True,False,1,5
52421,2016-01-02,48,4574,1.8296,True,False,1,5
52422,2016-01-02,49,3375,1.35,True,False,1,5
52423,2016-01-02,50,3669,1.4676,True,False,1,5
52424,2016-01-02,51,1450,0.58,False,False,1,5
52425,2016-01-02,53,1099,0.4396,False,False,1,5
52426,2016-01-02,54,1004,0.4016,False,False,1,5
52427,2016-01-04,1,10,0.004,False,False,1,0
52428,2016-01-04,5,1485,0.594,False,False,1,0
52429,2016-01-04,23,1119,0.4476,False,False,1,0
52430,2016-01-04,24,2491,0.9964,False,False,1,0
52431,2016-01-04,25,938,0.3752,False,False,1,0
52432,2016-01-04,26,660,0.264,False,False,1,0
52433,2016-01-04,30,599,0.2396,False,False,1,0
52434,2016-01-04,31,1510,0.604,False,False,1,0
52435,2016-01-04,32,605,0.242,False,False,1,0
52436,2016-01-04,33,1122,0.4488,False,False,1,0
52437,2016-01-04,34,2359,0.9436,False,False,1,0
52438,2016-01-04,37,1655,0.662,False,False,1,0
52439,2016-01-04,38,1736,0.6944,False,False,1,0
52440,2016-01-04,39,1540,0.616,False,False,1,0
52441,2016-01-05,1,1840,0.736,False,False,1,1
52442,2016-01-05,2,1903,0.7612,False,False,1,1
52443,2016-01-05,3,3057,1.2228,True,False,1,1
52444,2016-01-05,4,1464,0.5856,False,False,1,1
52445,2016-01-05,5,1379,0.5516,False,False,1,1
52446,2016-01-05,6,1824,0.7296,False,False,1,1
52447,2016-01-05,7,1827,0.7308,False,False,1,1
52448,2016-01-05,8,2838,1.1352,True,False,1,1
52449,2016-01-05,9,2193,0.8772,False,False,1,1
52450,2016-01-05,10,977,0.3908,False,False,1,1
52451,2016-01-05,11,2395,0.958,False,False,1,1
52452,2016-01-05,12,1274,0.5096,False,False,1,1
52453,2016-01-05,13,913,0.3652,False,False,1,1
52454,2016-01-05,14,1516,0.6064,False,False,1,1
52455,2016-01-05,15,1514,0.6056,False,False,1,1
52456,2016-01-05,16,855,0.342,False,False,1,1
52457,2016-01-05,17,1414,0.5656,False,False,1,1
