,Date,Store_Number,Transaction_Count,target_pct,met_target,bonus_payable,month,day_of_week
0,2013-01-02,1,2111,0.8444,False,False,1,2
1,2013-01-02,2,2358,0.9432,False,False,1,2
2,2013-01-02,3,3487,1.3948,True,False,1,2
3,2013-01-02,4,1922,0.7688,False,False,1,2
4,2013-01-02,5,1903,0.7612,False,False,1,2
5,2013-01-02,6,2143,0.8572,False,False,1,2
6,2013-01-02,7,1874,0.7496,False,False,1,2
7,2013-01-02,8,3250,1.3,True,False,1,2
8,2013-01-02,9,2940,1.176,True,False,1,2
9,2013-01-02,10,1293,0.5172,False,False,1,2
10,2013-01-02,11,3547,1.4188,True,False,1,2
11,2013-01-02,12,1362,0.5448,False,False,1,2
12,2013-01-02,13,1102,0.4408,False,False,1,2
13,2013-01-02,14,2002,0.8008,False,False,1,2
14,2013-01-02,15,1622,0.6488,False,False,1,2
15,2013-01-02,16,1167,0.4668,False,False,1,2
16,2013-01-02,17,1580,0.632,False,False,1,2
17,2013-01-02,18,1635,0.654,False,False,1,2
18,2013-01-02,19,1369,0.5476,False,False,1,2
19,2013-01-02,23,1381,0.5524,False,False,1,2
20,2013-01-02,24,2605,1.042,True,False,1,2
21,2013-01-02,25,1038,0.4152,False,False,1,2
22,2013-01-02,26,1008,0.4032,False,False,1,2
23,2013-01-02,27,1386,0.5544,False,False,1,2
24,2013-01-02,28,950,0.38,False,False,1,2
25,2013-01-02,30,708,0.2832,False,False,1,2
26,2013-01-02,31,1401,0.5604,False,False,1,2
27,2013-01-02,32,776,0.3104,False,False,1,2
28,2013-01-02,33,1163,0.4652,False,False,1,2
29,2013-01-02,34,2724,1.0896,True,False,1,2
30,2013-01-02,35,786,0.3144,False,False,1,2
31,2013-01-02,37,1691,0.6764,False,False,1,2
32,2013-01-02,38,1987,0.7948,False,False,1,2
33,2013-01-02,39,1587,0.6348,False,False,1,2
34,2013-01-02,40,1178,0.4712,False,False,1,2
35,2013-01-02,41,915,0.366,False,False,1,2
36,2013-01-02,43,1385,0.554,False,False,1,2
37,2013-01-02,44,4821,1.9284,True,False,1,2
38,2013-01-02,45,4208,1.6832,True,False,1,2
39,2013-01-02,46,4886,1.9544,True,False,1,2
40,2013-01-02,47,4161,1.6644,True,False,1,2
41,2013-01-02,48,3397,1.3588,True,False,1,2
42,2013-01-02,49,2346,0.9384,False,False,1,2
43,2013-01-02,50,3077,1.2308,True,False,1,2
44,2013-01-02,51,1985,0.794,False,False,1,2
45,2013-01-02,54,998,0.3992,False,False,1,2
46,2013-01-03,1,1833,0.7332,False,False,1,3
47,2013-01-03,2,2033,0.8132,False,False,1,3
48,2013-01-03,3,3026,1.2104,True,False,1,3
49,2013-01-03,4,1551,0.6204,False,False,1,3
50,2013-01-03,5,1740,0.696,False,False,1,3
51,2013-01-03,6,1795,0.718,False,False,1,3
52,2013-01-03,7,1568,0.6272,False,False,1,3
53,2013-01-03,8,2904,1.1616,True,False,1,3
54,2013-01-03,9,2396,0.9584,False,False,1,3
55,2013-01-03,10,1157,0.4628,False,False,1,3
56,2013-01-03,11,2675,1.07,True,False,1,3
57,2013-01-03,12,1248,0.4992,False,False,1,3
58,2013-01-03,13,916,0.3664,False,False,1,3
59,2013-01-03,14,1823,0.7292,False,False,1,3
60,2013-01-03,15,1512,0.6048,False,False,1,3
61,2013-01-03,16,1101,0.4404,False,False,1,3
62,2013-01-03,17,1339,0.5356,False,False,1,3
63,2013-01-03,18,1484,0.5936,False,False,1,3
64,2013-01-03,19,1098,0.4392,False,False,1,3
65,2013-01-03,23,1181,0.4724,False,False,1,3
66,2013-01-03,24,2462,0.9848,False,False,1,3
67,2013-01-03,25,887,0.3548,False,False,1,3
68,2013-01-03,26,813,0.3252,False,False,1,3
69,2013-01-03,27,928,0.3712,False,False,1,3
70,2013-01-03,28,749,0.2996,False,False,1,3
71,2013-01-03,30,689,0.2756,False,False,1,3
72,2013-01-03,31,1126,0.4504,False,False,1,3
73,2013-01-03,32,727,0.2908,False,False,1,3
74,2013-01-03,33,1168,0.4672,False,False,1,3
75,2013-01-03,34,2348,0.9392,False,False,1,3
76,2013-01-03,35,725,0.29,False,False,1,3
77,2013-01-03,37,1526,0.6104,False,False,1,3
78,2013-01-03,38,1746,0.6984,False,False,1,3
79,2013-01-03,39,1426,0.5704,False,False,1,3
80,2013-01-03,40,1171,0.4684,False,False,1,3
81,2013-01-03,41,809,0.3236,False,False,1,3
82,2013-01-03,43,1334,0.5336,False,False,1,3
83,2013-01-03,44,3618,1.4472,True,False,1,3
84,2013-01-03,45,3314,1.3256,True,False,1,3
85,2013-01-03,46,3438,1.3752,True,False,1,3
86,2013-01-03,47,3660,1.464,True,False,1,3
87,2013-01-03,48,2887,1.1548,True,False,1,3
